Aggregation Type,Description,Dimensions,Metric,Metric Display Name,Unit,resource
Total,The count of pushes that failed because the channel was invalid not associated with the correct app throttled or expired.,No Dimensions,outgoing.allpns.channelerror,Channel Errors,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of pushes that failed because the channel/token/registrationId in the registration was expired or invalid.,No Dimensions,outgoing.allpns.badorexpiredchannel,Bad or Expired Channel Errors,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of all successful notifications.,No Dimensions,outgoing.wns.success,WNS Successful Notifications,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of pushes that failed because the PNS did not accept the provided credentials or the credentials are blocked. (Windows Live does not recognize the credentials).,No Dimensions,outgoing.wns.invalidcredentials,WNS Authorization Errors (Invalid Credentials),Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of pushes that failed because the ChannelURI in the registration was not recognized (WNS status: 404 not found).,No Dimensions,outgoing.wns.badchannel,WNS Bad Channel Error,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of pushes that failed because the ChannelURI is expired (WNS status: 410 Gone).,No Dimensions,outgoing.wns.expiredchannel,WNS Expired Channel Error,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of pushes that failed because WNS is throttling this app (WNS status: 406 Not Acceptable).,No Dimensions,outgoing.wns.throttled,WNS Throttled Notifications,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,Windows Live is not reachable.,No Dimensions,outgoing.wns.tokenproviderunreachable,WNS Authorization Errors (Unreachable),Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The token provided to WNS is not valid (WNS status: 401 Unauthorized).,No Dimensions,outgoing.wns.invalidtoken,WNS Authorization Errors (Invalid Token),Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The token provided to WNS is valid but for another application (WNS status: 403 Forbidden). This can happen if the ChannelURI in the registration is associated with another app. Check that the client app is associated with the same app whose credentials are in the notification hub.,No Dimensions,outgoing.wns.wrongtoken,WNS Authorization Errors (Wrong Token),Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The format of the notification is invalid (WNS status: 400). Note that WNS does not reject all invalid payloads.,No Dimensions,outgoing.wns.invalidnotificationformat,WNS Invalid Notification Format,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The notification payload is too large (WNS status: 413).,No Dimensions,outgoing.wns.invalidnotificationsize,WNS Invalid Notification Size Error,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The notification was dropped because the ChannelURI in the registration is throttled (WNS response header: X-WNS-NotificationStatus:channelThrottled).,No Dimensions,outgoing.wns.channelthrottled,WNS Channel Throttled,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The notification was dropped because the ChannelURI in the registration is throttled (WNS response header: X-WNS-DeviceConnectionStatus: disconnected).,No Dimensions,outgoing.wns.channeldisconnected,WNS Channel Disconnected,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The notification was dropped because the ChannelURI in the registration is throttled (X-WNS-NotificationStatus: dropped but not X-WNS-DeviceConnectionStatus: disconnected).,No Dimensions,outgoing.wns.dropped,WNS Dropped Notifications,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,Notification not delivered because of errors communicating with WNS.,No Dimensions,outgoing.wns.pnserror,WNS Errors,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,Notification not delivered because of errors communicating with Windows Live invalid credentials or wrong token.,No Dimensions,outgoing.wns.authenticationerror,WNS Authentication Errors,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of all successful notifications.,No Dimensions,outgoing.apns.success,APNS Successful Notifications,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of pushes that failed because the PNS did not accept the provided credentials or the credentials are blocked.,No Dimensions,outgoing.apns.invalidcredentials,APNS Authorization Errors,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of pushes that failed because the token is invalid (APNS status code: 8).,No Dimensions,outgoing.apns.badchannel,APNS Bad Channel Error,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of token that were invalidated by the APNS feedback channel.,No Dimensions,outgoing.apns.expiredchannel,APNS Expired Channel Error,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of pushes that failed because the payload was too large (APNS status code: 7).,No Dimensions,outgoing.apns.invalidnotificationsize,APNS Invalid Notification Size Error,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of pushes that failed because of errors communicating with APNS.,No Dimensions,outgoing.apns.pnserror,APNS Errors,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of all successful notifications.,No Dimensions,outgoing.gcm.success,GCM Successful Notifications,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of pushes that failed because the PNS did not accept the provided credentials or the credentials are blocked.,No Dimensions,outgoing.gcm.invalidcredentials,GCM Authorization Errors (Invalid Credentials),Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of pushes that failed because the registrationId in the registration was not recognized (GCM result: Invalid Registration).,No Dimensions,outgoing.gcm.badchannel,GCM Bad Channel Error,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of pushes that failed because the registrationId in the registration was expired (GCM result: NotRegistered).,No Dimensions,outgoing.gcm.expiredchannel,GCM Expired Channel Error,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of pushes that failed because GCM throttled this app (GCM status code: 501-599 or result:Unavailable).,No Dimensions,outgoing.gcm.throttled,GCM Throttled Notifications,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of pushes that failed because the payload was not formatted correctly (GCM result: InvalidDataKey or InvalidTtl).,No Dimensions,outgoing.gcm.invalidnotificationformat,GCM Invalid Notification Format,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of pushes that failed because the payload was too large (GCM result: MessageTooBig).,No Dimensions,outgoing.gcm.invalidnotificationsize,GCM Invalid Notification Size Error,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of pushes that failed because the registrationId in the registration is not associated to the current app (GCM result: InvalidPackageName).,No Dimensions,outgoing.gcm.wrongchannel,GCM Wrong Channel Error,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of pushes that failed because of errors communicating with GCM.,No Dimensions,outgoing.gcm.pnserror,GCM Errors,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of pushes that failed because the PNS did not accept the provided credentials the credentials are blocked or the SenderId is not correctly configured in the app (GCM result: MismatchedSenderId).,No Dimensions,outgoing.gcm.authenticationerror,GCM Authentication Errors,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of all successful notifications.,No Dimensions,outgoing.mpns.success,MPNS Successful Notifications,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of pushes that failed because the PNS did not accept the provided credentials or the credentials are blocked.,No Dimensions,outgoing.mpns.invalidcredentials,MPNS Invalid Credentials,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of pushes that failed because the ChannelURI in the registration was not recognized (MPNS status: 404 not found).,No Dimensions,outgoing.mpns.badchannel,MPNS Bad Channel Error,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of pushes that failed because MPNS is throttling this app (WNS MPNS: 406 Not Acceptable).,No Dimensions,outgoing.mpns.throttled,MPNS Throttled Notifications,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of pushes that failed because the payload of the notification was too large.,No Dimensions,outgoing.mpns.invalidnotificationformat,MPNS Invalid Notification Format,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of pushes that failed because the ChannelURI in the registration was disconnected (MPNS status: 412 not found).,No Dimensions,outgoing.mpns.channeldisconnected,MPNS Channel Disconnected,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of pushes that were dropped by MPNS (MPNS response header: X-NotificationStatus: QueueFull or Suppressed).,No Dimensions,outgoing.mpns.dropped,MPNS Dropped Notifications,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of pushes that failed because of errors communicating with MPNS.,No Dimensions,outgoing.mpns.pnserror,MPNS Errors,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,The count of pushes that failed because the PNS did not accept the provided credentials or the credentials are blocked.,No Dimensions,outgoing.mpns.authenticationerror,MPNS Authentication Errors,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,All outgoing notifications of the notification hub,No Dimensions,notificationhub.pushes,All Outgoing Notifications,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,Total incoming requests for a notification hub,No Dimensions,incoming.all.requests,All Incoming Requests,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Total,Total incoming failed requests for a notification hub,No Dimensions,incoming.all.failedrequests,All Incoming Failed Requests,Count,Microsoft.NotificationHubs/Namespaces/NotificationHubs
Average,DAX Query duration in last interval,No Dimensions,QueryDuration,Query Duration,Milliseconds,Microsoft.PowerBIDedicated/capacities
Average,Number of jobs in the queue of the query thread pool.,No Dimensions,QueryPoolJobQueueLength,Threads: Query pool job queue length,Count,Microsoft.PowerBIDedicated/capacities
Average,Average_% Free Inodes,Computer,Average_% Free Inodes,Average_% Free Inodes,Count,(Public Preview)
Average,Average_% Free Space,Computer,Average_% Free Space,Average_% Free Space,Count,(Public Preview)
Average,Average_% Used Inodes,Computer,Average_% Used Inodes,Average_% Used Inodes,Count,(Public Preview)
Average,Average_% Used Space,Computer,Average_% Used Space,Average_% Used Space,Count,(Public Preview)
Average,Average_Disk Read Bytes/sec,Computer,Average_Disk Read Bytes/sec,Average_Disk Read Bytes/sec,Count,(Public Preview)
Average,Average_Disk Reads/sec,Computer,Average_Disk Reads/sec,Average_Disk Reads/sec,Count,(Public Preview)
Average,Average_Disk Transfers/sec,Computer,Average_Disk Transfers/sec,Average_Disk Transfers/sec,Count,(Public Preview)
Average,Average_Disk Write Bytes/sec,Computer,Average_Disk Write Bytes/sec,Average_Disk Write Bytes/sec,Count,(Public Preview)
Average,Average_Disk Writes/sec,Computer,Average_Disk Writes/sec,Average_Disk Writes/sec,Count,(Public Preview)
Average,Average_Free Megabytes,Computer,Average_Free Megabytes,Average_Free Megabytes,Count,(Public Preview)
Average,Average_Logical Disk Bytes/sec,Computer,Average_Logical Disk Bytes/sec,Average_Logical Disk Bytes/sec,Count,(Public Preview)
Average,Average_% Available Memory,Computer,Average_% Available Memory,Average_% Available Memory,Count,(Public Preview)
Average,Average_% Available Swap Space,Computer,Average_% Available Swap Space,Average_% Available Swap Space,Count,(Public Preview)
Average,Average_% Used Memory,Computer,Average_% Used Memory,Average_% Used Memory,Count,(Public Preview)
Average,Average_% Used Swap Space,Computer,Average_% Used Swap Space,Average_% Used Swap Space,Count,(Public Preview)
Average,Average_Available MBytes Memory,Computer,Average_Available MBytes Memory,Average_Available MBytes Memory,Count,(Public Preview)
Average,Average_Available MBytes Swap,Computer,Average_Available MBytes Swap,Average_Available MBytes Swap,Count,(Public Preview)
Average,Average_Page Reads/sec,Computer,Average_Page Reads/sec,Average_Page Reads/sec,Count,(Public Preview)
Average,Average_Page Writes/sec,Computer,Average_Page Writes/sec,Average_Page Writes/sec,Count,(Public Preview)
Average,Average_Pages/sec,Computer,Average_Pages/sec,Average_Pages/sec,Count,(Public Preview)
Average,Average_Used MBytes Swap Space,Computer,Average_Used MBytes Swap Space,Average_Used MBytes Swap Space,Count,(Public Preview)
Average,Average_Used Memory MBytes,Computer,Average_Used Memory MBytes,Average_Used Memory MBytes,Count,(Public Preview)
Average,Average_Total Bytes Transmitted,Computer,Average_Total Bytes Transmitted,Average_Total Bytes Transmitted,Count,(Public Preview)
Average,Average_Total Bytes Received,Computer,Average_Total Bytes Received,Average_Total Bytes Received,Count,(Public Preview)
Average,Average_Total Bytes,Computer,Average_Total Bytes,Average_Total Bytes,Count,(Public Preview)
Average,Average_Total Packets Transmitted,Computer,Average_Total Packets Transmitted,Average_Total Packets Transmitted,Count,(Public Preview)
Average,Average_Total Packets Received,Computer,Average_Total Packets Received,Average_Total Packets Received,Count,(Public Preview)
Average,Average_Total Rx Errors,Computer,Average_Total Rx Errors,Average_Total Rx Errors,Count,(Public Preview)
Average,Average_Total Tx Errors,Computer,Average_Total Tx Errors,Average_Total Tx Errors,Count,(Public Preview)
Average,Average_Total Collisions,Computer,Average_Total Collisions,Average_Total Collisions,Count,(Public Preview)
Average,Average_Avg. Disk sec/Read,Computer,Average_Avg. Disk sec/Read,Average_Avg. Disk sec/Read,Count,(Public Preview)
Average,Average_Avg. Disk sec/Transfer,Computer,Average_Avg. Disk sec/Transfer,Average_Avg. Disk sec/Transfer,Count,(Public Preview)
Average,Average_Avg. Disk sec/Write,Computer,Average_Avg. Disk sec/Write,Average_Avg. Disk sec/Write,Count,(Public Preview)
Average,Average_Physical Disk Bytes/sec,Computer,Average_Physical Disk Bytes/sec,Average_Physical Disk Bytes/sec,Count,(Public Preview)
Average,Average_Pct Privileged Time,Computer,Average_Pct Privileged Time,Average_Pct Privileged Time,Count,(Public Preview)
Average,Average_Pct User Time,Computer,Average_Pct User Time,Average_Pct User Time,Count,(Public Preview)
Average,Average_Used Memory kBytes,Computer,Average_Used Memory kBytes,Average_Used Memory kBytes,Count,(Public Preview)
Average,Average_Virtual Shared Memory,Computer,Average_Virtual Shared Memory,Average_Virtual Shared Memory,Count,(Public Preview)
Average,Average_% DPC Time,Computer,Average_% DPC Time,Average_% DPC Time,Count,(Public Preview)
Average,Average_% Idle Time,Computer,Average_% Idle Time,Average_% Idle Time,Count,(Public Preview)
Average,Average_% Interrupt Time,Computer,Average_% Interrupt Time,Average_% Interrupt Time,Count,(Public Preview)
Average,Average_% IO Wait Time,Computer,Average_% IO Wait Time,Average_% IO Wait Time,Count,(Public Preview)
Average,Average_% Nice Time,Computer,Average_% Nice Time,Average_% Nice Time,Count,(Public Preview)
Average,Average_% Privileged Time,Computer,Average_% Privileged Time,Average_% Privileged Time,Count,(Public Preview)
Average,Average_% Processor Time,Computer,Average_% Processor Time,Average_% Processor Time,Count,(Public Preview)
Average,Average_% User Time,Computer,Average_% User Time,Average_% User Time,Count,(Public Preview)
Average,Average_Free Physical Memory,Computer,Average_Free Physical Memory,Average_Free Physical Memory,Count,(Public Preview)
Average,Average_Free Space in Paging Files,Computer,Average_Free Space in Paging Files,Average_Free Space in Paging Files,Count,(Public Preview)
Average,Average_Free Virtual Memory,Computer,Average_Free Virtual Memory,Average_Free Virtual Memory,Count,(Public Preview)
Average,Average_Processes,Computer,Average_Processes,Average_Processes,Count,(Public Preview)
Average,Average_Size Stored In Paging Files,Computer,Average_Size Stored In Paging Files,Average_Size Stored In Paging Files,Count,(Public Preview)
Average,Average_Uptime,Computer,Average_Uptime,Average_Uptime,Count,(Public Preview)
Average,Average_Users,Computer,Average_Users,Average_Users,Count,(Public Preview)
Average,Average_Avg. Disk sec/Read,Computer,Average_Avg. Disk sec/Read,Average_Avg. Disk sec/Read,Count,(Public Preview)
Average,Average_Avg. Disk sec/Write,Computer,Average_Avg. Disk sec/Write,Average_Avg. Disk sec/Write,Count,(Public Preview)
Average,Average_Current Disk Queue Length,Computer,Average_Current Disk Queue Length,Average_Current Disk Queue Length,Count,(Public Preview)
Average,Average_Disk Reads/sec,Computer,Average_Disk Reads/sec,Average_Disk Reads/sec,Count,(Public Preview)
Average,Average_Disk Transfers/sec,Computer,Average_Disk Transfers/sec,Average_Disk Transfers/sec,Count,(Public Preview)
Average,Average_Disk Writes/sec,Computer,Average_Disk Writes/sec,Average_Disk Writes/sec,Count,(Public Preview)
Average,Average_Free Megabytes,Computer,Average_Free Megabytes,Average_Free Megabytes,Count,(Public Preview)
Average,Average_% Free Space,Computer,Average_% Free Space,Average_% Free Space,Count,(Public Preview)
Average,Average_Available MBytes,Computer,Average_Available MBytes,Average_Available MBytes,Count,(Public Preview)
Average,Average_% Committed Bytes In Use,Computer,Average_% Committed Bytes In Use,Average_% Committed Bytes In Use,Count,(Public Preview)
Average,Average_Bytes Received/sec,Computer,Average_Bytes Received/sec,Average_Bytes Received/sec,Count,(Public Preview)
Average,Average_Bytes Sent/sec,Computer,Average_Bytes Sent/sec,Average_Bytes Sent/sec,Count,(Public Preview)
Average,Average_Bytes Total/sec,Computer,Average_Bytes Total/sec,Average_Bytes Total/sec,Count,(Public Preview)
Average,Average_% Processor Time,Computer,Average_% Processor Time,Average_% Processor Time,Count,(Public Preview)
Average,Average_Processor Queue Length,Computer,Average_Processor Queue Length,Average_Processor Queue Length,Count,(Public Preview)
Average,Heartbeat,Computer,Heartbeat,Heartbeat,Count,(Public Preview)
Average,Update,Computer,Update,Update,Count,(Public Preview)
Total,Successful ListenerConnections for Microsoft.Relay.,EntityName,ListenerConnections-Success,ListenerConnections-Success,Count,Microsoft.Relay/namespaces
Total,ClientError on ListenerConnections for Microsoft.Relay.,EntityName,ListenerConnections-ClientError,ListenerConnections-ClientError,Count,Microsoft.Relay/namespaces
Total,ServerError on ListenerConnections for Microsoft.Relay.,EntityName,ListenerConnections-ServerError,ListenerConnections-ServerError,Count,Microsoft.Relay/namespaces
Total,Successful SenderConnections for Microsoft.Relay.,EntityName,SenderConnections-Success,SenderConnections-Success,Count,Microsoft.Relay/namespaces
Total,ClientError on SenderConnections for Microsoft.Relay.,EntityName,SenderConnections-ClientError,SenderConnections-ClientError,Count,Microsoft.Relay/namespaces
Total,ServerError on SenderConnections for Microsoft.Relay.,EntityName,SenderConnections-ServerError,SenderConnections-ServerError,Count,Microsoft.Relay/namespaces
Total,Total ListenerConnections for Microsoft.Relay.,EntityName,ListenerConnections-TotalRequests,ListenerConnections-TotalRequests,Count,Microsoft.Relay/namespaces
Total,Total SenderConnections requests for Microsoft.Relay.,EntityName,SenderConnections-TotalRequests,SenderConnections-TotalRequests,Count,Microsoft.Relay/namespaces
Total,Total ActiveConnections for Microsoft.Relay.,EntityName,ActiveConnections,ActiveConnections,Count,Microsoft.Relay/namespaces
Total,Total ActiveListeners for Microsoft.Relay.,EntityName,ActiveListeners,ActiveListeners,Count,Microsoft.Relay/namespaces
Total,Total BytesTransferred for Microsoft.Relay.,EntityName,BytesTransferred,BytesTransferred,Count,Microsoft.Relay/namespaces
Total,Total ListenerDisconnects for Microsoft.Relay.,EntityName,ListenerDisconnects,ListenerDisconnects,Count,Microsoft.Relay/namespaces
Total,Total SenderDisconnects for Microsoft.Relay.,EntityName,SenderDisconnects,SenderDisconnects,Count,Microsoft.Relay/namespaces
Average,Average search latency for the search service,No Dimensions,SearchLatency,Search Latency,Seconds,Microsoft.Search/searchServices
Average,Search queries per second for the search service,No Dimensions,SearchQueriesPerSecond,Search queries per second,CountPerSecond,Microsoft.Search/searchServices
Average,Percentage of search queries that were throttled for the search service,No Dimensions,ThrottledSearchQueriesPercentage,Throttled search queries percentage,Percent,Microsoft.Search/searchServices
Total,Total successful requests for a namespace (Preview),EntityName,SuccessfulRequests,Successful Requests (Preview),Count,Microsoft.ServiceBus/namespaces
Total,Server Errors for Microsoft.ServiceBus. (Preview),EntityName,ServerErrors,Server Errors. (Preview),Count,Microsoft.ServiceBus/namespaces
Total,User Errors for Microsoft.ServiceBus. (Preview),EntityName,UserErrors,User Errors. (Preview),Count,Microsoft.ServiceBus/namespaces
Total,Throttled Requests for Microsoft.ServiceBus. (Preview),EntityName,ThrottledRequests,Throttled Requests. (Preview),Count,Microsoft.ServiceBus/namespaces
Total,Incoming Requests for Microsoft.ServiceBus. (Preview),EntityName,IncomingRequests,Incoming Requests (Preview),Count,Microsoft.ServiceBus/namespaces
Total,Incoming Messages for Microsoft.ServiceBus. (Preview),EntityName,IncomingMessages,Incoming Messages (Preview),Count,Microsoft.ServiceBus/namespaces
Total,Outgoing Messages for Microsoft.ServiceBus. (Preview),EntityName,OutgoingMessages,Outgoing Messages (Preview),Count,Microsoft.ServiceBus/namespaces
Total,Total Active Connections for Microsoft.ServiceBus. (Preview),No Dimensions,ActiveConnections,ActiveConnections (Preview),Count,Microsoft.ServiceBus/namespaces
Average,Size of an Queue/Topic in Bytes. (Preview),EntityName,Size,Size (Preview),Bytes,Microsoft.ServiceBus/namespaces
Average,Count of messages in a Queue/Topic. (Preview),EntityName,Messages,Count of messages in a Queue/Topic. (Preview),Count,Microsoft.ServiceBus/namespaces
Average,Count of active messages in a Queue/Topic. (Preview),EntityName,ActiveMessages,Count of active messages in a Queue/Topic. (Preview),Count,Microsoft.ServiceBus/namespaces
Maximum,Service bus premium namespace CPU usage metric,No Dimensions,CPUXNS,CPU usage per namespace,Percent,Microsoft.ServiceBus/namespaces
Maximum,Service bus premium namespace memory usage metric,No Dimensions,WSXNS,Memory size usage per namespace,Percent,Microsoft.ServiceBus/namespaces
Average,CPU percentage,No Dimensions,cpu_percent,CPU percentage,Percent,Microsoft.Sql/servers/databases
Average,Data IO percentage,No Dimensions,physical_data_read_percent,Data IO percentage,Percent,Microsoft.Sql/servers/databases
Average,Log IO percentage,No Dimensions,log_write_percent,Log IO percentage,Percent,Microsoft.Sql/servers/databases
Average,DTU percentage,No Dimensions,dtu_consumption_percent,DTU percentage,Percent,Microsoft.Sql/servers/databases
Maximum,Total database size,No Dimensions,storage,Total database size,Bytes,Microsoft.Sql/servers/databases
Total,Successful Connections,No Dimensions,connection_successful,Successful Connections,Count,Microsoft.Sql/servers/databases
Total,Failed Connections,No Dimensions,connection_failed,Failed Connections,Count,Microsoft.Sql/servers/databases
Total,Blocked by Firewall,No Dimensions,blocked_by_firewall,Blocked by Firewall,Count,Microsoft.Sql/servers/databases
Total,Deadlocks,No Dimensions,deadlock,Deadlocks,Count,Microsoft.Sql/servers/databases
Maximum,Database size percentage,No Dimensions,storage_percent,Database size percentage,Percent,Microsoft.Sql/servers/databases
Average,In-Memory OLTP storage percent,No Dimensions,xtp_storage_percent,In-Memory OLTP storage percent,Percent,Microsoft.Sql/servers/databases
Average,Workers percentage,No Dimensions,workers_percent,Workers percentage,Percent,Microsoft.Sql/servers/databases
Average,Sessions percentage,No Dimensions,sessions_percent,Sessions percentage,Percent,Microsoft.Sql/servers/databases
Average,DTU Limit,No Dimensions,dtu_limit,DTU Limit,Count,Microsoft.Sql/servers/databases
Average,DTU used,No Dimensions,dtu_used,DTU used,Count,Microsoft.Sql/servers/databases
Maximum,DWU limit,No Dimensions,dwu_limit,DWU limit,Count,Microsoft.Sql/servers/databases
Maximum,DWU percentage,No Dimensions,dwu_consumption_percent,DWU percentage,Percent,Microsoft.Sql/servers/databases
Maximum,DWU used,No Dimensions,dwu_used,DWU used,Count,Microsoft.Sql/servers/databases
Average,DW node level CPU percentage,DwLogicalNodeId,dw_cpu_percent,DW node level CPU percentage,Percent,Microsoft.Sql/servers/databases
Average,DW node level Data IO percentage,DwLogicalNodeId,dw_physical_data_read_percent,DW node level Data IO percentage,Percent,Microsoft.Sql/servers/databases
Average,CPU percentage,No Dimensions,cpu_percent,CPU percentage,Percent,Microsoft.Sql/servers/elasticPools
Average,Data IO percentage,No Dimensions,physical_data_read_percent,Data IO percentage,Percent,Microsoft.Sql/servers/elasticPools
Average,Log IO percentage,No Dimensions,log_write_percent,Log IO percentage,Percent,Microsoft.Sql/servers/elasticPools
Average,DTU percentage,No Dimensions,dtu_consumption_percent,DTU percentage,Percent,Microsoft.Sql/servers/elasticPools
Average,Storage percentage,No Dimensions,storage_percent,Storage percentage,Percent,Microsoft.Sql/servers/elasticPools
Average,Workers percentage,No Dimensions,workers_percent,Workers percentage,Percent,Microsoft.Sql/servers/elasticPools
Average,Sessions percentage,No Dimensions,sessions_percent,Sessions percentage,Percent,Microsoft.Sql/servers/elasticPools
Average,eDTU limit,No Dimensions,eDTU_limit,eDTU limit,Count,Microsoft.Sql/servers/elasticPools
Average,Storage limit,No Dimensions,storage_limit,Storage limit,Bytes,Microsoft.Sql/servers/elasticPools
Average,eDTU used,No Dimensions,eDTU_used,eDTU used,Count,Microsoft.Sql/servers/elasticPools
Average,Storage used,No Dimensions,storage_used,Storage used,Bytes,Microsoft.Sql/servers/elasticPools
Average,In-Memory OLTP storage percent,No Dimensions,xtp_storage_percent,In-Memory OLTP storage percent,Percent,Microsoft.Sql/servers/elasticPools
Average,DTU percentage,ElasticPoolResourceId,dtu_consumption_percent,DTU percentage,Percent,Microsoft.Sql/servers
Average,Storage used,ElasticPoolResourceId,storage_used,Storage used,Bytes,Microsoft.Sql/servers
Average,Account used capacity,No Dimensions,UsedCapacity,Used capacity,Bytes,Microsoft.Storage/storageAccounts
Total,The number of requests made to a storage service or the specified API operation. This number includes successful and failed requests, as well as requests which produced errors. Use ResponseType dimension for the number of different type of response.,Transactions,Transactions,Count,Microsoft.Storage/storageAccounts
Total,The amount of ingress data, in bytes. This number includes ingress from an external client into Azure Storage as well as ingress within Azure.,Ingress,Ingress,Bytes,Microsoft.Storage/storageAccounts
Total,The amount of egress data, in bytes. This number includes egress from an external client into Azure Storage as well as egress within Azure. As a result,Egress,Egress,Bytes,Microsoft.Storage/storageAccounts
Average,The average latency used by Azure Storage to process a successful request, in milliseconds. This value does not include the network latency specified in AverageE2ELatency.,SuccessServerLatency,Success Server Latency,Milliseconds,Microsoft.Storage/storageAccounts
Average,The average end-to-end latency of successful requests made to a storage service or the specified API operation, in milliseconds. This value includes the required processing time within Azure Storage to read the request,SuccessE2ELatency,Success E2E Latency,Milliseconds,Microsoft.Storage/storageAccounts
Average,The percentage of availability for the storage service or the specified API operation. Availability is calculated by taking the TotalBillableRequests value and dividing it by the number of applicable requests, including those that produced unexpected errors. All unexpected errors result in reduced availability for the storage service or the specified API operation.,Availability,Availability,Percent,Microsoft.Storage/storageAccounts
Total,The amount of storage used by the storage account’s Blob service in bytes.,BlobType,BlobCapacity,Blob Capacity,Bytes,Microsoft.Storage/storageAccounts/blobServices
Total,The number of Blob in the storage account’s Blob service.,BlobType,BlobCount,Blob Count,Count,Microsoft.Storage/storageAccounts/blobServices
Average,The number of containers in the storage account’s Blob service.,No Dimensions,ContainerCount,Blob Container Count,Count,Microsoft.Storage/storageAccounts/blobServices
Total,The number of requests made to a storage service or the specified API operation. This number includes successful and failed requests, as well as requests which produced errors. Use ResponseType dimension for the number of different type of response.,Transactions,Transactions,Count,Microsoft.Storage/storageAccounts/blobServices
Total,The amount of ingress data, in bytes. This number includes ingress from an external client into Azure Storage as well as ingress within Azure.,Ingress,Ingress,Bytes,Microsoft.Storage/storageAccounts/blobServices
Total,The amount of egress data, in bytes. This number includes egress from an external client into Azure Storage as well as egress within Azure. As a result,Egress,Egress,Bytes,Microsoft.Storage/storageAccounts/blobServices
Average,The average latency used by Azure Storage to process a successful request, in milliseconds. This value does not include the network latency specified in AverageE2ELatency.,SuccessServerLatency,Success Server Latency,Milliseconds,Microsoft.Storage/storageAccounts/blobServices
Average,The average end-to-end latency of successful requests made to a storage service or the specified API operation, in milliseconds. This value includes the required processing time within Azure Storage to read the request,SuccessE2ELatency,Success E2E Latency,Milliseconds,Microsoft.Storage/storageAccounts/blobServices
Average,The percentage of availability for the storage service or the specified API operation. Availability is calculated by taking the TotalBillableRequests value and dividing it by the number of applicable requests, including those that produced unexpected errors. All unexpected errors result in reduced availability for the storage service or the specified API operation.,Availability,Availability,Percent,Microsoft.Storage/storageAccounts/blobServices
Average,The amount of storage used by the storage account’s Table service in bytes.,No Dimensions,TableCapacity,Table Capacity,Bytes,Microsoft.Storage/storageAccounts/tableServices
Average,The number of table in the storage account’s Table service.,No Dimensions,TableCount,Table Count,Count,Microsoft.Storage/storageAccounts/tableServices
